id;prioridade;categoria;nome_db;case_style;ativo;itens_coleta;coletas;plano_itens;planos;clientes_ativos;planos_nomes;acao_sugerida;problema;sugestao_csv
65;alta;tecnologia;"LIMPEZA DE CAIXA DE GORDURA";MAIUSCULO;1;2;2;0;0;0;;corrigir_campos;"Reciclagem inadequada para gordura/lodo de caixa";"tra=50 (Compostagem) ou tra=60 (Coprocessamento); tia=21 OK"
55;media;estado_fisico;"Misturas de gorduras e óleos, da separação óleo/ág";Title/misto;1;0;0;0;0;0;;desativar_ou_excluir;"Estado Líquido pode estar OK; confirmar se pastoso";"Se pastoso: tie=1 (Semissólido)"
48;media;tecnologia;"MASSA DE GORDURA E CINZAS - Materiais impróprios p";Title/misto;1;31;29;0;0;0;;corrigir_campos;"Reciclagem questionável para gordura/cinzas";"tra=50 (Compostagem) ou tra=73 — confirmar processo Well"
75;media;tecnologia;"Resíduos da indústria de lacticínios: MATERIAIS IM";Title/misto;1;14;14;0;0;0;;corrigir_campos;"Reciclagem questionável";"tra=50 ou tra=27 — confirmar destinador"
67;media;tecnologia;"EQUIPAMENTOS FORA DE USO";MAIUSCULO;1;19;19;0;0;0;;corrigir_campos;"Reciclagem pode ser OK; alternativa desmontagem";"tra=43 OK ou tra=28 (Desmontagem) se aplicável"
59;media;classe;"LIMPEZA DE CAIXA SAO";MAIUSCULO;1;2;2;0;0;0;;corrigir_campos;"Classe I (1) provavelmente errada para resíduo urbano";"cla=43 (Classe II A) ou cla=2 (Outros); confirmar natureza"
35;media;estado_fisico;"ESTOPAS CONTAMINADOS POR ÓLEO";MAIUSCULO;1;551;546;6;6;72;"C I - Postos | C I - ZANETTI  | Grupo G3 | OFICINAS DE MOTO | Plano Reciclável e Contaminados | RETÍFICA";corrigir_campos;"Estado=Líquido (2) incorreto — estopa é sólida";"tie=4 (Sólido); tra=73 OK; cla=1 OK"
76;media;estado_fisico;"DRENAGEM DE EFLUENTES";MAIUSCULO;1;0;0;0;0;0;;desativar_ou_excluir;"Estado=Sólido (4) para efluente líquido";"tie=2 (Líquido)"
22;media;acondicionamento;"PNEU MOTO";MAIUSCULO;1;536;534;1;1;5;"Plano Reciclável e Contaminados";corrigir_campos;"Granel (8) inadequado para pneus";"tia=13 (Outros) — confirmar no portal MTR"
26;media;acondicionamento;"PNEU TRATOR";MAIUSCULO;1;32;32;0;0;0;;corrigir_campos;"Granel inadequado";"tia=13 (Outros)"
50;media;acondicionamento;"PNEUS AERONAUTICOS";MAIUSCULO;1;1;1;0;0;0;;corrigir_campos;"Granel inadequado";"tia=13 (Outros)"
51;media;acondicionamento;"PNEUS AUTOMÓVEIS";MAIUSCULO;1;395;391;0;0;0;;corrigir_campos;"Granel inadequado";"tia=13 (Outros)"
52;media;acondicionamento;"PNEUS BICICLETAS";MAIUSCULO;1;0;0;0;0;0;;desativar_ou_excluir;"Granel inadequado";"tia=13 (Outros)"
57;media;acondicionamento;"PNEUS CAMINHÕES";MAIUSCULO;1;189;189;0;0;0;;corrigir_campos;"Granel inadequado";"tia=13 (Outros)"
53;media;acondicionamento;"PNEUS ONIBUS";MAIUSCULO;1;51;47;0;0;0;;corrigir_campos;"Granel inadequado";"tia=13 (Outros)"
36;media;acondicionamento;"Vasilhames Contaminado por Óleo ";Title/misto;1;873;842;6;6;72;"C I - Postos | C I - ZANETTI  | Grupo G3 | OFICINAS DE MOTO | Plano Reciclável e Contaminados | RETÍFICA";corrigir_campos;"Granel inadequado para vasilhame/tambor";"tia=9 (Tambor) ou tia=11 (Tanque)"
38;media;acondicionamento;"FILTROS CONTAMINADO POR ÓLEO";MAIUSCULO;1;604;600;5;5;67;"C I - Postos | C I - ZANETTI  | Grupo G3 | Plano Reciclável e Contaminados | RETÍFICA";corrigir_campos;"Granel para filtros — caixa/saco seria melhor";"tia=21 (Caixa) ou tia=2 (Saco plástico)"
19;baixa;acondicionamento;PAPEL;MAIUSCULO;1;1093;1077;7;7;21;"LOJAS | OFICINAS DE MOTO | Plano 1 - C II B | Plano 2 - C II B | Plano 3 - C II B | Plano C II B + Elet | SUPERMERCADOS";corrigir_campos;"Granel OK se a granel; se fardos na prática";"tia=24 (Fardo) ou tia=26 (Big Bag) se aplicável"
42;baixa;acondicionamento;PAPELÃO;MAIUSCULO;1;3318;3307;3;3;47;"LOJAS | RECICLÁVEIS | SUPERMERCADOS";corrigir_campos;"Granel OK; se coleta em big bag";"tia=26 (Big Bag)"
64;baixa;acondicionamento;"RESÍDUOS DE TRIAGEM DE PAPEL E PAPELÃO DESTINADO A";MAIUSCULO;1;381;381;0;0;0;;corrigir_campos;"Idem papelão";"tia=26 (Big Bag) se coleta em big bag"
63;baixa;acondicionamento;"SACOS DE CIMENTO - RESÍDUOS DE CIMENTO";MAIUSCULO;1;16;16;0;0;0;;corrigir_campos;"tia=2 (Saco plástico) parece correto";"Confirmar na operação"
32;baixa;tecnologia;"Lâmpadas Fluorescentes G (maior que 1.20mt)";Title/misto;1;5;5;3;3;16;"C I - Eletrônico | Plano 3 - C II B | Plano C II B + Elet";corrigir_campos;"Incineração OK; alternativa específica";"tra=24 (Descontaminação de Lâmpadas) se destinador usar"
31;baixa;tecnologia;"Lâmpadas Fluorescentes M (até 1.20mt)";Title/misto;1;6;6;4;4;17;"C I - Eletrônico | CII + Elet | Plano 3 - C II B | Plano C II B + Elet";corrigir_campos;"Idem lâmpadas G";"tra=24 se processo Well for descontaminação"
30;baixa;tecnologia;"Lâmpadas Fluorescentes P ";Title/misto;1;7;7;3;3;16;"C I - Eletrônico | Plano 3 - C II B | Plano C II B + Elet";corrigir_campos;Idem;"tra=24 se aplicável"
78;baixa;revisar;"OUTROS RESÍDUOS URBANOS E EQUIPARADOS INCLUINDO MI";MAIUSCULO;1;2;2;0;0;0;;corrigir_campos;"Código catch-all — revisar se tipos específicos cobrem";"Manter só se necessário; preferir tipos específicos"
68;baixa;revisar;"RESÍDUOS CONTAMINADOS";MAIUSCULO;1;1464;1461;0;0;0;;corrigir_campos;"Nome genérico — difícil auditar no MTR";"Especificar tipo (estopa, filtro, embalagem) nos planos/coletas"
47;baixa;revisar;"Embalagem contaminados por resíduos perigosos";Title/misto;1;39;39;0;0;0;;corrigir_campos;"Parece correto";"Confirmar duplicata com #81 e #36 — evitar overlap confuso"
