prioridade;categoria;id;nome;cod_ibama_atual;descricao_ibama_sinir;tra_atual;tie_atual;tia_atual;cla_atual;uni_atual;problema;sugestao
media;estado_fisico;35;ESTOPAS CONTAMINADOS POR ÓLEO;15.02.03;Absorventes/panos não abrangidos em 15 02 02;43;2;8;1;2;Estado=Líquido (2) incorreto — estopa é sólida;"tie=4 (Sólido); tra=73 OK; cla=1 OK"
media;estado_fisico;76;DRENAGEM DE EFLUENTES;13.05.07;Água com óleo separadores;73;4;8;1;2;Estado=Sólido (4) para efluente líquido;tie=2 (Líquido)
media;estado_fisico;55;Misturas de gorduras e óleos;19.08.09;Misturas gorduras/óleos alimentares;43;2;8;43;2;"Estado Líquido pode estar OK; confirmar se pastoso";Se pastoso: tie=1 (Semissólido)
media;acondicionamento;22;PNEU MOTO;16.01.27;Pneus motocicletas;43;4;8;43;2;Granel (8) inadequado para pneus;tia=13 (Outros) — confirmar no portal MTR
media;acondicionamento;26;PNEU TRATOR;16.01.28;Pneus tratores;43;4;8;43;2;Granel inadequado;tia=13 (Outros)
media;acondicionamento;50;PNEUS AERONAUTICOS;16.01.23;Pneus aeronáuticos;43;4;8;43;2;Granel inadequado;tia=13 (Outros)
media;acondicionamento;51;PNEUS AUTOMÓVEIS;16.01.24;Pneus automóveis;43;4;8;43;2;Granel inadequado;tia=13 (Outros)
media;acondicionamento;52;PNEUS BICICLETAS;16.01.25;Pneus bicicletas;43;4;8;43;2;Granel inadequado;tia=13 (Outros)
media;acondicionamento;57;PNEUS CAMINHÕES;16.01.26;Pneus caminhões/ônibus;43;4;8;43;2;Granel inadequado;tia=13 (Outros)
media;acondicionamento;53;PNEUS ONIBUS;16.01.26;Pneus caminhões/ônibus;43;4;8;43;2;Granel inadequado;tia=13 (Outros)
media;acondicionamento;36;Vasilhames Contaminado por Óleo;15.01.10;Embalagens contaminadas perigosas;73;2;8;1;2;Granel inadequado para vasilhame/tambor;tia=9 (Tambor) ou tia=11 (Tanque)
media;acondicionamento;38;FILTROS CONTAMINADO POR ÓLEO;15.02.02;Absorventes/filtros contaminados;73;2;8;1;2;Granel para filtros — caixa/saco seria melhor;tia=21 (Caixa) ou tia=2 (Saco plástico)
media;acondicionamento;69;ÓLEO USADO;13.07.01;Fuelóleo e óleo diesel;73;2;8;1;2;Granel inadequado para óleo;tia=9 (Tambor) ou tia=11 (Tanque) — após corrigir IBAMA
baixa;acondicionamento;19;PAPEL;19.12.01;Papel e cartão;43;4;8;43;2;"Granel OK se a granel; se fardos na prática";tia=24 (Fardo) ou tia=26 (Big Bag) se aplicável
baixa;acondicionamento;42;PAPELÃO;03.03.08;Triagem papel/papelão reciclagem;43;4;8;43;2;"Granel OK; se coleta em big bag";tia=26 (Big Bag)
baixa;acondicionamento;64;RESÍDUOS TRIAGEM PAPEL/PAPELÃO;03.03.08;Triagem papel/papelão reciclagem;43;4;8;43;2;Idem papelão;tia=26 (Big Bag) se coleta em big bag
baixa;acondicionamento;63;SACOS DE CIMENTO;17.01.01;Resíduos de cimento;43;4;2;43;2;tia=2 (Saco plástico) parece correto;Confirmar na operação
baixa;tecnologia;32;Lâmpadas Fluorescentes G;20.01.21;Lâmpadas fluorescentes/vapor;73;4;8;1;2;"Incineração OK; alternativa específica";tra=24 (Descontaminação de Lâmpadas) se destinador usar
baixa;tecnologia;31;Lâmpadas Fluorescentes M;20.01.21;Lâmpadas fluorescentes/vapor;73;4;8;1;2;Idem lâmpadas G;tra=24 se processo Well for descontaminação
baixa;tecnologia;30;Lâmpadas Fluorescentes P;20.01.21;Lâmpadas fluorescentes/vapor;73;4;8;1;2;Idem;tra=24 se aplicável
baixa;revisar;78;OUTROS RESÍDUOS URBANOS;20.03.01;Outros resíduos urbanos misturas;43;4;8;43;2;Código catch-all — revisar se tipos específicos cobrem;"Manter só se necessário; preferir tipos específicos"
baixa;revisar;68;RESÍDUOS CONTAMINADOS;15.02.02;Absorventes/filtros contaminados;73;4;8;1;2;Nome genérico — difícil auditar no MTR;Especificar tipo (estopa, filtro, embalagem) nos planos/coletas
baixa;revisar;47;Embalagem contaminados por resíduos perigosos;15.01.10;Embalagens contaminadas;73;4;8;1;2;Parece correto;Confirmar duplicata com #81 e #36 — evitar overlap confuso
baixa;revisar;81;EMBALAGEM CONTAMINADA (duplicata?);06.03.13;Sais metais pesados;73;4;8;1;2;Possível duplicata de #47 com IBAMA errado;Unificar ou corrigir IBAMA (ver também linha alta ibama #81)
